STC,DCArrayOutput_W_,Vmp,Imp,CellTemperature_C_,PlaneOfArrayIrradiance_W_m_2_,Fill Factor,Gamma,Pmp,Voc,Isc
-2,6835.58,34.76342804,2.075553204,44.086,538.481,1.51900339,0.133994225,72.15334444,29.5237059,3.712310887
-2,8544.476,34.76342804,2.594441808,44.086,538.481,2.612994083,0.167492801,90.19169111,45.22395448,5.211184159
-2,3718.897,36.46542736,1.076499762,33.024,296.021,2.620180661,0.132608916,39.25502389,29.68928244,3.464390042
-2,4648.621,36.46542736,1.345624631,33.024,296.021,4.703996717,0.165761136,49.06877722,44.24481596,5.216868055
-2,3441.176,36.46819684,0.996032916,16.994,256.529,2.924164886,0.141596172,36.32352444,29.93954631,3.547681505
-2,4301.47,36.46819684,1.245041145,16.994,256.529,5.128235218,0.176995215,45.40440556,43.98897924,5.293245618
-2,6873.171,37.32011966,1.94399533,27.469,500.466,1.470564994,0.144965169,72.55013833,30.1903703,3.53389815
-2,8591.464,37.32011966,2.429994233,27.469,500.466,2.46213452,0.181206467,90.68767556,43.72827068,5.106199103
-2,9175.067,35.46964544,2.730445378,39.496,692.45,1.097128849,0.139862704,96.84792944,29.42191511,3.611412002
-2,11468.834,35.46964544,3.413056797,39.496,692.45,1.743329255,0.174828384,121.0599144,45.3167873,4.657154732
-2,10170.038,33.65255884,3.189962511,51.306,810.369,0.939514059,0.132471011,107.3504011,29.44611616,3.425144782
-2,12712.547,33.65255884,3.987452982,51.306,810.369,1.731756732,0.165588758,134.1879961,44.23330323,5.25352955
-2,10590.177,33.20990362,3.366020057,54.183,855.604,1.033141784,0.13065063,111.7852017,31.21641911,3.699654411
-2,13237.721,33.20990362,4.207524991,54.183,855.604,1.64209126,0.163313284,139.7314994,44.88553499,5.111933589
-2,10461.067,34.11721604,3.236558744,48.286,819.924,1.070392858,0.134673914,110.4223739,30.62753468,3.859119633
-2,13076.335,34.11721604,4.045698817,48.286,819.924,1.679318865,0.168342408,138.0279806,43.91005814,5.278813134
-2,9255.795,34.73142516,2.813016105,44.294,714.877,0.980158464,0.136666949,97.70005833,30.63634973,3.125748986
-2,11569.744,34.73142516,3.516270208,44.294,714.877,1.896513276,0.17083369,122.1250756,43.56280962,5.316732993
-2,6817.844,35.0943809,2.05064541,41.935,530.798,1.381134824,0.135581014,71.96613111,29.61290048,3.356473977
1,8522.305,35.0943809,2.563306763,41.935,530.798,2.486743026,0.169476268,89.95766389,43.19921591,5.178371612
-2,3725.228,36.94439354,1.064352324,29.911,291.295,2.614618729,0.134989791,39.32185111,30.37718844,3.38450178
-2,4656.535,36.94439354,1.330440405,29.911,291.295,4.844006829,0.168737239,49.15231389,44.98285258,5.292997898
-2,3341.614,36.42773166,0.968289559,16.731,248.471,3.012796777,0.141958588,35.27259222,30.69548435,3.462045132
-2,4177.017,36.42773166,1.210361804,16.731,248.471,5.091033689,0.177448213,44.090735,45.08812542,4.978415385
-2,6698.102,37.153797,1.902959953,28.55,490.087,1.460839277,0.144264565,70.70218778,29.12542814,3.546197926
-2,8372.628,37.153797,2.378700083,28.55,490.087,2.691929977,0.180330717,88.37774,44.70679644,5.321488153
-2,9113.701,35.66335518,2.697451677,38.237,683.355,1.143775932,0.140776284,96.20017722,29.82896775,3.688744721
-2,11392.126,35.66335518,3.371814522,38.237,683.355,1.965207779,0.175970351,120.2502189,44.20172853,5.346321818
-2,10578.294,34.68142066,3.219584662,44.619,813.707,0.944826034,0.137223558,111.65977,30.55179442,3.453121484
1,13222.868,34.68142066,4.024480979,44.619,813.707,1.656092808,0.171529454,139.5747178,44.28881089,5.219121525
-2,11041.82,34.261229,3.401878679,47.35,860.047,0.971880705,0.135518808,116.5525444,29.80972854,3.79993964
-2,13802.275,34.261229,4.252348348,47.35,860.047,1.593399728,0.16939851,145.6906806,44.86087531,5.174742785
-2,10831.576,35.02098968,3.264707916,42.412,823.371,0.898915111,0.138860006,114.3333022,30.11953072,3.412268738
-2,13539.47,35.02098968,4.080884895,42.412,823.371,1.509684917,0.173575008,142.9166278,43.48853956,4.961285882
-2,9439.499,35.46687596,2.809358124,39.514,711.271,0.983635091,0.140086066,99.63915611,31.71050037,3.090729229
-2,11799.374,35.46687596,3.511697729,39.514,711.271,1.87927872,0.175107586,124.5489478,45.03808432,5.196983634
-2,6946.366,36.0852393,2.031931993,35.495,523.037,1.459914819,0.140186549,73.32275222,31.24068946,3.426459991
-2,8682.957,36.0852393,2.539914845,35.495,523.037,2.363737973,0.175233177,91.653435,43.19922613,5.015013556
-2,3639.177,37.16010526,1.033730522,28.509,281.009,2.864312422,0.136698593,38.413535,30.16293864,3.64779993
-2,4548.971,37.16010526,1.292163081,28.509,281.009,4.675832452,0.170873232,48.01691611,44.26719362,5.071906219
-2,3228.055,35.76705682,0.952661944,12.437,234.217,3.378157155,0.145480106,34.07391389,30.45203996,3.779944994
-2,4035.068,35.76705682,1.190827209,12.437,234.217,4.913208041,0.181850098,42.59238444,41.36767358,5.058666046
-2,6837.368,37.17779916,1.941271926,21.606,483.668,1.260712171,0.149218509,72.17221778,30.17573769,3.015283148
1,8546.71,37.17779916,2.426589907,21.606,483.668,2.539006398,0.186523136,90.21527222,42.67027577,5.368072956
-2,9499.26,36.94700916,2.713885885,29.894,683.603,1.096183152,0.146678652,100.2699667,30.24659641,3.633937736
-2,11874.074,36.94700916,3.392357071,29.894,683.603,1.840740657,0.1833483,125.3374478,43.31373529,5.326572148
-2,11126.022,36.10124074,3.253110999,35.391,816.675,0.914970345,0.143804259,117.4413433,30.03709707,3.577421154
-2,13907.528,36.10124074,4.066388895,35.391,816.675,1.419322516,0.17975533,146.8016844,44.21261309,4.712658257
-2,11525.226,35.31717018,3.444646406,40.487,866.408,0.856078327,0.14041325,121.6551633,29.00517162,3.590613083
1,14406.532,35.31717018,4.305807858,40.487,866.408,1.487271775,0.175516557,152.0689489,45.57404558,4.962646011
-2,11150.408,35.40779372,3.32409164,39.898,836.759,0.921982151,0.140660275,117.6987511,28.828707,3.764169782
-2,13938.011,35.40779372,4.155114849,39.898,836.759,1.588063103,0.175825356,147.1234494,45.54360853,5.130057305
-2,9730.498,35.85660334,2.864488062,36.981,723.807,0.952838153,0.141903591,102.7108122,30.80046072,3.177445346
1,12163.123,35.85660334,3.580610225,36.981,723.807,1.9719176,0.177379496,128.3885206,44.19944187,5.727936206
-2,7215.456,36.29818154,2.098263424,34.111,539.459,1.332623933,0.14118431,76.16314667,29.7273754,3.414254728
-2,9019.319,36.29818154,2.622828989,34.111,539.459,2.372498994,0.176480368,95.20392278,45.4498801,4.969676718
-2,3909.519,37.33058214,1.105451419,27.401,300.638,2.530190466,0.137265233,41.267145,30.51011575,3.422266166
-2,4886.898,37.33058214,1.381814062,27.401,300.638,4.641749218,0.171581514,51.58392333,44.20183447,5.416961505
-2,1372.081,34.83343434,0.415780916,6.369,90.446,7.418396854,0.160129549,14.48307722,30.54456872,3.517522722
-2,1715.102,34.83343434,0.519726372,6.369,90.446,12.50590679,0.200162024,18.10385444,43.62008792,5.190386516
-2,4200.296,36.34387796,1.219915437,16.186,285.803,2.142162028,0.155129435,44.33645778,29.83091854,3.183806632
-2,5250.37,36.34387796,1.524894297,16.186,285.803,4.174748373,0.193911793,55.42057222,43.20006714,5.355707966
-2,9369.195,36.20940432,2.731253391,34.688,690.266,1.235571332,0.143273837,98.89705833,32.06844589,3.81042382
-2,11711.494,36.20940432,3.414066812,34.688,690.266,1.942170166,0.1790923,123.6213256,45.23540715,5.307648709
-2,10357.137,34.2273798,3.194090101,47.57,808.857,0.918284256,0.135160276,109.325335,30.21030033,3.323096189
-2,12946.421,34.2273798,3.992612549,47.57,808.857,1.700091511,0.168950341,136.6566661,43.13837216,5.38566539
-2,10784.844,33.78026264,3.370015835,50.476,853.909,0.93804382,0.133316337,113.84002,29.42926099,3.628596969
-2,13481.056,33.78026264,4.212520106,50.476,853.909,1.624919219,0.166645434,142.3000356,43.62073104,5.300829609
-2,7081.649,35.08145666,2.130776386,42.019,536.028,1.280185957,0.13945305,74.75073944,28.6528948,3.339796818
-2,8852.061,35.08145666,2.663470408,42.019,536.028,2.472293731,0.174316307,93.43842167,45.7640289,5.047790365
-2,9425.037,35.3582508,2.813671475,40.22,712.393,0.975225073,0.13965115,99.48650167,29.63855001,3.273497888
1,11781.297,35.3582508,3.517089567,40.22,712.393,1.860850208,0.174563949,124.358135,43.90924423,5.270231028
-2,7110.877,36.346032,2.065129344,33.8,530.482,1.376501679,0.141492562,75.05925722,28.00569776,3.689220476
-2,8888.597,36.346032,2.581411898,33.8,530.482,2.478596982,0.176865717,93.82407944,43.40417349,5.357827634
-2,3177.823,37.08640632,0.904473918,21.012,233.992,3.384259938,0.143353992,33.54368722,29.90395159,3.796172439
-2,3972.279,37.08640632,1.130592468,21.012,233.992,5.334062518,0.179192501,41.92961167,42.5735918,5.253377987
-2,3500.445,35.86352704,1.030270716,13.064,256.799,2.972700877,0.143883511,36.94914167,29.47559251,3.726430464
-2,4375.556,35.86352704,1.287838321,13.064,256.799,4.804584086,0.179854378,46.18642444,45.35047741,4.893147163
-2,6968.327,37.62583948,1.954894928,24.518,500.476,1.678538161,0.146969211,73.55456278,31.48240956,3.9216865
-2,8710.409,37.62583948,2.443618731,24.518,500.476,2.426234262,0.183711519,91.94320611,45.43413595,4.909871228
-2,9327.068,35.90260748,2.742207081,36.682,694,0.956999846,0.141862225,98.45238444,29.30980308,3.214587165
-2,11658.836,35.90260748,3.427759145,36.682,694,1.826325066,0.177327797,123.0654911,43.9407366,5.115016466
-2,10680.317,34.96452306,3.224316238,42.779,813.594,0.893424023,0.138566262,112.7366794,28.48950221,3.535395493
-2,13350.396,34.96452306,4.030395222,42.779,813.594,1.643425754,0.173207824,140.9208467,44.12529818,5.248529942
-2,11107.598,34.56525636,3.392043923,45.374,856.099,0.900728369,0.136954801,117.2468678,30.14770231,3.503005931
-2,13884.497,34.56525636,4.240054751,45.374,856.099,1.673219124,0.171193494,146.5585794,46.24623229,5.302585871
-2,7997.678,35.51395712,2.377091749,39.208,596.982,1.242201359,0.141411189,84.41993444,30.22595201,3.469421154
-2,9997.097,35.51395712,2.971364538,39.208,596.982,2.093966225,0.176763977,105.5249128,44.29612722,4.988372959
-2,9497.584,35.28855222,2.840929119,40.673,719.459,1.055324167,0.139343973,100.2522756,30.62674298,3.454453164
1,11871.98,35.28855222,3.551161398,40.673,719.459,1.790529904,0.174179966,125.3153444,43.64753511,5.140745545
-2,4921.477,36.2044808,1.434875539,34.72,365.302,1.97470794,0.142208156,51.94892389,29.03787804,3.53276339
